Run	Sample_Name	body_site	submitted_subject_id
SRR1401953	GTEX-13OW5-0011-R11b-SM-5L3GG	Brain - Cerebellar Hemisphere	GTEX-13OW5
SRR8221354	GTEX-13OW5-0011-R11b-SM-5L3GG	Brain - Cerebellar Hemisphere	GTEX-13OW5
SRR1401972	GTEX-YB5E-0426-SM-5IFHR	Spleen	GTEX-YB5E
SRR8231517	GTEX-YB5E-0426-SM-5IFHR	Spleen	GTEX-YB5E
SRR1401990	GTEX-1313W-1626-SM-5J1OE	Adipose - Visceral (Omentum)	GTEX-1313W
SRR8220014	GTEX-1313W-1626-SM-5J1OE	Adipose - Visceral (Omentum)	GTEX-1313W
SRR1402009	GTEX-12WSK-1126-SM-5LZV8	Esophagus - Mucosa	GTEX-12WSK
SRR8219752	GTEX-12WSK-1126-SM-5LZV8	Esophagus - Mucosa	GTEX-12WSK
SRR1402027	GTEX-X3Y1-1726-SM-4PQZL	Colon - Transverse	GTEX-X3Y1
SRR8230650	GTEX-X3Y1-1726-SM-4PQZL	Colon - Transverse	GTEX-X3Y1
SRR1402051	GTEX-139YR-0126-SM-5IJEY	Adrenal Gland	GTEX-139YR
SRR8220537	GTEX-139YR-0126-SM-5IJEY	Adrenal Gland	GTEX-139YR
SRR1402068	GTEX-ZTTD-0526-SM-57WDV	Heart - Left Ventricle	GTEX-ZTTD
SRR8232455	GTEX-ZTTD-0526-SM-57WDV	Heart - Left Ventricle	GTEX-ZTTD
SRR1402091	GTEX-YEC3-0626-SM-5IFHZ	Pancreas	GTEX-YEC3
SRR8231572	GTEX-YEC3-0626-SM-5IFHZ	Pancreas	GTEX-YEC3
SRR1402109	GTEX-11LCK-0126-SM-5A5M5	Spleen	GTEX-11LCK
SRR8218835	GTEX-11LCK-0126-SM-5A5M5	Spleen	GTEX-11LCK
SRR1402132	GTEX-ZQG8-2226-SM-5DUWD	Esophagus - Mucosa	GTEX-ZQG8
SRR8232352	GTEX-ZQG8-2226-SM-5DUWD	Esophagus - Mucosa	GTEX-ZQG8
SRR1402172	GTEX-ZYWO-2626-SM-5E43V	Muscle - Skeletal	GTEX-ZYWO
SRR8232896	GTEX-ZYWO-2626-SM-5E43V	Muscle - Skeletal	GTEX-ZYWO
SRR1402153	GTEX-13NZ8-2126-SM-5L3EO	Muscle - Skeletal	GTEX-13NZ8
SRR8221046	GTEX-13NZ8-2126-SM-5L3EO	Muscle - Skeletal	GTEX-13NZ8
SRR1402195	GTEX-13W3W-0426-SM-5SI9D	Heart - Left Ventricle	GTEX-13W3W
SRR8221832	GTEX-13W3W-0426-SM-5SI9D	Heart - Left Ventricle	GTEX-13W3W
SRR1402219	GTEX-11H98-0426-SM-5HL55	Nerve - Tibial	GTEX-11H98
SRR8218794	GTEX-11H98-0426-SM-5HL55	Nerve - Tibial	GTEX-11H98
SRR1402239	GTEX-12696-3026-SM-5FQTU	Brain - Cerebellum	GTEX-12696
SRR8219447	GTEX-12696-3026-SM-5FQTU	Brain - Cerebellum	GTEX-12696
SRR1402261	GTEX-144GM-0826-SM-5O98R	Prostate	GTEX-144GM
SRR8222021	GTEX-144GM-0826-SM-5O98R	Prostate	GTEX-144GM
SRR1402285	GTEX-1399T-1326-SM-5PNVH	Adipose - Visceral (Omentum)	GTEX-1399T
SRR8220369	GTEX-1399T-1326-SM-5PNVH	Adipose - Visceral (Omentum)	GTEX-1399T
SRR1402328	GTEX-ZLV1-2126-SM-4WWD2	Muscle - Skeletal	GTEX-ZLV1
SRR8232230	GTEX-ZLV1-2126-SM-4WWD2	Muscle - Skeletal	GTEX-ZLV1
SRR1402350	GTEX-13FHO-0526-SM-5K7VS	Nerve - Tibial	GTEX-13FHO
SRR8220677	GTEX-13FHO-0526-SM-5K7VS	Nerve - Tibial	GTEX-13FHO
SRR1402307	GTEX-111YS-0008-SM-5Q5BH	Cells - Transformed fibroblasts	GTEX-111YS
SRR8218343	GTEX-111YS-0008-SM-5Q5BH	Cells - Transformed fibroblasts	GTEX-111YS
SRR1402368	GTEX-ZP4G-0006-SM-4WWE6	Whole Blood	GTEX-ZP4G
SRR8232249	GTEX-ZP4G-0006-SM-4WWE6	Whole Blood	GTEX-ZP4G
SRR1402391	GTEX-WRHK-0001-SM-4WWDD	Cells - EBV-transformed lymphocytes	GTEX-WRHK
SRR8230378	GTEX-WRHK-0001-SM-4WWDD	Cells - EBV-transformed lymphocytes	GTEX-WRHK
SRR1402414	GTEX-11UD2-0926-SM-5CVL6	Heart - Atrial Appendage	GTEX-11UD2
