Run	Sample_Name	body_site	submitted_subject_id
SRR1404623	GTEX-13QIC-1526-SM-5IJFL	Ovary	GTEX-13QIC
SRR8221599	GTEX-13QIC-1526-SM-5IJFL	Ovary	GTEX-13QIC
SRR1404640	GTEX-111FC-3126-SM-5GZZ2	Brain - Cortex	GTEX-111FC
SRR8218329	GTEX-111FC-3126-SM-5GZZ2	Brain - Cortex	GTEX-111FC
SRR1404813	GTEX-13OVL-0006-SM-5O996	Whole Blood	GTEX-13OVL
SRR8221327	GTEX-13OVL-0006-SM-5O996	Whole Blood	GTEX-13OVL
SRR1404837	GTEX-13OVH-0626-SM-5L3EI	Muscle - Skeletal	GTEX-13OVH
SRR8221249	GTEX-13OVH-0626-SM-5L3EI	Muscle - Skeletal	GTEX-13OVH
SRR1404856	GTEX-WHPG-0326-SM-4M1XV	Pancreas	GTEX-WHPG
SRR8230207	GTEX-WHPG-0326-SM-4M1XV	Pancreas	GTEX-WHPG
SRR1404887	GTEX-1211K-1926-SM-5EQLB	Breast - Mammary Tissue	GTEX-1211K
SRR8219363	GTEX-1211K-1926-SM-5EQLB	Breast - Mammary Tissue	GTEX-1211K
SRR1404909	GTEX-ZAJG-1626-SM-5HL7I	Adipose - Visceral (Omentum)	GTEX-ZAJG
SRR8231884	GTEX-ZAJG-1626-SM-5HL7I	Adipose - Visceral (Omentum)	GTEX-ZAJG
