GTEX-132NY	GTEX-132NY-0005-SM-5O9AC	SRR1345847
GTEX-132Q8	GTEX-132Q8-0006-SM-5NQA4	SRR1328642
GTEX-132QS	GTEX-132QS-0005-SM-5LZXK	SRR1348181
GTEX-1399R	GTEX-1399R-0006-SM-5N9FR	SRR1434610
GTEX-1399S	GTEX-1399S-0006-SM-5NQ7U	SRR1317898
GTEX-1399U	GTEX-1399U-0005-SM-5NQ8K	SRR1485141
GTEX-139D8	GTEX-139D8-0006-SM-5LZX8	SRR1407516
GTEX-139T6	GTEX-139T6-0006-SM-5LU92	SRR1451740
GTEX-139T8	GTEX-139T8-0006-SM-5NQ6V	SRR1352147
GTEX-139TS	GTEX-139TS-0005-SM-5NQC1	SRR1457291
GTEX-139TT	GTEX-139TT-0006-SM-5O9CG	SRR1370637
GTEX-139TU	GTEX-139TU-0006-SM-5LZVN	SRR1487089
GTEX-139UW	GTEX-139UW-0005-SM-5NQ8U	SRR1468447
GTEX-13CF2	GTEX-13CF2-0006-SM-5O99L	SRR1392478
GTEX-13CF3	GTEX-13CF3-0006-SM-5N9ED	SRR1457397
GTEX-13CIG	GTEX-13CIG-0006-SM-5P9HF	SRR1441975
GTEX-13CZU	GTEX-13CZU-0005-SM-5LU8K	SRR1396191
GTEX-13CZV	GTEX-13CZV-0006-SM-5P9IN	SRR1318005
GTEX-13FTW	GTEX-13FTW-0005-SM-5LZVZ	SRR1416560
GTEX-13FTX	GTEX-13FTX-0005-SM-5N9F6	SRR1377714
GTEX-13FTY	GTEX-13FTY-0005-SM-5NQ78	SRR1313910
GTEX-13FTZ	GTEX-13FTZ-0005-SM-5NQ9N	SRR1312598
GTEX-13FXS	GTEX-13FXS-0006-SM-5O99X	SRR1430157
GTEX-13G51	GTEX-13G51-0005-SM-5N9EP	SRR1446244
GTEX-13JUV	GTEX-13JUV-0006-SM-5NQ97	SRR1340885
GTEX-13O61	GTEX-13O61-0005-SM-5O9AU	SRR1476300
GTEX-13OVG	GTEX-13OVG-0005-SM-5P9HA	SRR1380270
GTEX-13OVH	GTEX-13OVH-0005-SM-5P9HB	SRR1474863
GTEX-13OVI	GTEX-13OVI-0001-SM-5O9BL	SRR1477861
GTEX-13OVJ	GTEX-13OVJ-0006-SM-5O98T	SRR1398183
GTEX-13OVK	GTEX-13OVK-0006-SM-5O9B7	SRR1498313
GTEX-13OVL	GTEX-13OVL-0006-SM-5O996	SRR1404813
GTEX-13OW6	GTEX-13OW6-0005-SM-5NQ9Z	SRR1349276
GTEX-13OW8	GTEX-13OW8-0005-SM-5NQAC	SRR1392072
GTEX-13PL7	GTEX-13PL7-0005-SM-5N9ET	SRR1329047
GTEX-13PLJ	GTEX-13PLJ-0005-SM-5NQ99	SRR1367693
GTEX-13S7M	GTEX-13S7M-0005-SM-5NQ76	SRR1317064
GTEX-13S86	GTEX-13S86-0005-SM-5NQ7I	SRR1318241
GTEX-13U4I	GTEX-13U4I-0006-SM-5N9CI	SRR1414559
GTEX-13VXT	GTEX-13VXT-0005-SM-5N9F3	SRR1367499
GTEX-13VXU	GTEX-13VXU-0006-SM-5N9FF	SRR1458706
GTEX-13W3W	GTEX-13W3W-0005-SM-5SI9Y	SRR1356553
GTEX-1477Z	GTEX-1477Z-0005-SM-5PNWD	SRR1465018
GTEX-147F3	GTEX-147F3-0005-SM-5N9FI	SRR1338648
GTEX-147F4	GTEX-147F4-0006-SM-5O99T	SRR1354291
GTEX-147GR	GTEX-147GR-0005-SM-5NQAO	SRR1467835
GTEX-147JS	GTEX-147JS-0006-SM-5NQ7K	SRR1465712
GTEX-148VI	GTEX-148VI-0006-SM-5O9A6	SRR1477149
GTEX-148VJ	GTEX-148VJ-0006-SM-5NQB1	SRR1328383
GTEX-1497J	GTEX-1497J-0005-SM-5NQBD	SRR1433576
GTEX-14A5H	GTEX-14A5H-0006-SM-5O9AI	SRR1440137
GTEX-14A5I	GTEX-14A5I-0005-SM-5N9FU	SRR1365873
GTEX-14A6H	GTEX-14A6H-0006-SM-5NQ7W	SRR1472976
GTEX-14ABY	GTEX-14ABY-0005-SM-5O99U	SRR1379538
GTEX-14AS3	GTEX-14AS3-0006-SM-5NQC2	SRR1314113
GTEX-14B4R	GTEX-14B4R-0006-SM-5O9A7	SRR1363742
GTEX-14BIL	GTEX-14BIL-0006-SM-5N9F2	SRR1320403
GTEX-14BIM	GTEX-14BIM-0006-SM-5O9AA	SRR1326773
GTEX-14BIN	GTEX-14BIN-0005-SM-5N9FE	SRR1391748
GTEX-14BMU	GTEX-14BMU-0006-SM-5MR3T	SRR1470798
